id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,station_id
6iOAgzJ0DRZNSKA3FSrrOg,la-taqueria-pinche-taco-shop-vancouver,La Taqueria Pinche Taco Shop,https://s3-media1.fl.yelpcdn.com/bphoto/fjhIj3XKuQ4mquD4Mg8OoQ/o.jpg,False,https://www.yelp.com/biz/la-taqueria-pinche-taco-shop-vancouver?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,685,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,[],$$,+16045582549,+1 604-558-2549,169.51745604912014,49.263559,-123.112736,2450 Yukon Street,,,Vancouver,V5Z 3V6,CA,BC,"['2450 Yukon Street', 'Vancouver, BC V5Z 3V6', 'Canada']",7a19c49f486d7c0c02b3685d7b240448
XAH2HpuUUtu7CUO26pbs4w,saku-vancouver-8,Saku,https://s3-media1.fl.yelpcdn.com/bphoto/mKOSejpgcOkslnUydp0vSg/o.jpg,False,https://www.yelp.com/biz/saku-vancouver-8?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,237,"[{'alias': 'japanese', 'title': 'Japanese'}]",4.5,[],$$,+16044234600,+1 604-423-4600,178.8453436692719,49.2631006,-123.11667523250104,548 W Broadway,,,Vancouver,V5Z 1E9,CA,BC,"['548 W Broadway', 'Vancouver, BC V5Z 1E9', 'Canada']",7a19c49f486d7c0c02b3685d7b240448
nkDZY5xqihF3XtZMzzfqqg,hokkaido-ramen-santouka-vancouver-5,Hokkaido Ramen Santouka,https://s3-media2.fl.yelpcdn.com/bphoto/9Fe-Lqjx8cng9bBCB8MiKw/o.jpg,False,https://www.yelp.com/biz/hokkaido-ramen-santouka-vancouver-5?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,226,"[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'soup', 'title': 'Soup'}]",4.0,[],$$,+16045651770,+1 604-565-1770,191.04423406538024,49.263127,-123.1168917,558 W Broadway,,,Vancouver,V5Z 1E9,CA,BC,"['558 W Broadway', 'Vancouver, BC V5Z 1E9', 'Canada']",7a19c49f486d7c0c02b3685d7b240448
4118Aq9LbkvUr4s719uUkA,uma-sushi-vancouver,Uma Sushi,https://s3-media4.fl.yelpcdn.com/bphoto/gE3vdj8OS0PdjpKrjsGSeQ/o.jpg,False,https://www.yelp.com/biz/uma-sushi-vancouver?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,117,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,[],$$$,+16044288588,+1 604-428-8588,152.15789734503988,49.2638048,-123.1137294,450 W 8th Avenue,,,Vancouver,V5Y 1N9,CA,BC,"['450 W 8th Avenue', 'Vancouver, BC V5Y 1N9', 'Canada']",7a19c49f486d7c0c02b3685d7b240448
NensKn1MSVU_rm-1Y6WlFA,marulilu-cafe-vancouver,Marulilu Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/uwwarfUGQaB7hJYsr6YddQ/o.jpg,False,https://www.yelp.com/biz/marulilu-cafe-vancouver?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,288,"[{'alias': 'cafes', 'title': 'Cafes'}]",4.0,[],$$,+16045684211,+1 604-568-4211,102.3298169925688,49.26338,-123.11415,451 W Broadway,,,Vancouver,V5Y 1R4,CA,BC,"['451 W Broadway', 'Vancouver, BC V5Y 1R4', 'Canada']",7a19c49f486d7c0c02b3685d7b240448
Zi8Ywk36Ws_4zjw2gjMMFA,iden-and-quan-ju-de-beijing-duck-house-vancouver-4,iDen & Quan Ju De Beijing Duck House,https://s3-media4.fl.yelpcdn.com/bphoto/yBiWyKn8E21c3rQn4AdjxA/o.jpg,False,https://www.yelp.com/biz/iden-and-quan-ju-de-beijing-duck-house-vancouver-4?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,112,"[{'alias': 'chinese', 'title': 'Chinese'}]",3.5,[],,+12364777777,+1 236-477-7777,263.641336489585,49.26021,-123.1148451,2808 Cambie Street,,,Vancouver,V5Z 2V5,CA,BC,"['2808 Cambie Street', 'Vancouver, BC V5Z 2V5', 'Canada']",7a19c49f486d7c0c02b3685d7b240448
F5wxgIiZE7LYQxgqhI483A,seaport-city-seafood-restaurant-vancouver,Seaport City Seafood Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/suTnAZrL624_a3FE-B4mZQ/o.jpg,False,https://www.yelp.com/biz/seaport-city-seafood-restaurant-vancouver?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,37,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cantonese', 'title': 'Cantonese'}]",4.0,[],,+16042227288,+1 604-222-7288,168.6152620637239,49.263921119674905,-123.115152,2425 Cambie Street,,,Vancouver,V5Z 4M5,CA,BC,"['2425 Cambie Street', 'Vancouver, BC V5Z 4M5', 'Canada']",7a19c49f486d7c0c02b3685d7b240448
oHYOa9l5aLOQpJ8dF6sDmA,menya-raizo-vancouver,Menya Raizo,https://s3-media2.fl.yelpcdn.com/bphoto/G0cHCtHIicWb4b8-rRGOhA/o.jpg,False,https://www.yelp.com/biz/menya-raizo-vancouver?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,78,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.0,[],$$,+16048290697,+1 604-829-0697,133.67867312458677,49.26336,-123.11314,401 W Broadway,,,Vancouver,V5Y 4A8,CA,BC,"['401 W Broadway', 'Vancouver, BC V5Y 4A8', 'Canada']",7a19c49f486d7c0c02b3685d7b240448
AEOyRbQtYD3bmX1qJWvt4g,peaceful-restaurant-vancouver,Peaceful Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/Otuhde5EA5-5sNr-Q9oAaA/o.jpg,False,https://www.yelp.com/biz/peaceful-restaurant-vancouver?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,621,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]",3.5,[],$$,+16048799878,+1 604-879-9878,146.41800874604075,49.263147,-123.116143,110-532 W Broadway,,,Vancouver,V5Z 1E9,CA,BC,"['110-532 W Broadway', 'Vancouver, BC V5Z 1E9', 'Canada']",7a19c49f486d7c0c02b3685d7b240448
u-tcnG8zdDG8QWYTctxyfg,cactus-club-cafe-vancouver,Cactus Club Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/C2z-w6Eaqx_lrpRrEOXC0w/o.jpg,False,https://www.yelp.com/biz/cactus-club-cafe-vancouver?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,147,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.5,[],$$,+16047146000,+1 604-714-6000,221.48393348384232,49.2633734327403,-123.117130327243,575 Broadway W,,,Vancouver,V5Z 1E6,CA,BC,"['575 Broadway W', 'Vancouver, BC V5Z 1E6', 'Canada']",7a19c49f486d7c0c02b3685d7b240448
NdEPf2Ls5Ql3_nkwjqKvXA,the-flying-pig-vancouver-5,The Flying Pig,https://s3-media1.fl.yelpcdn.com/bphoto/1hJWeQgbr2RgzBZ17MMfdw/o.jpg,False,https://www.yelp.com/biz/the-flying-pig-vancouver-5?adjust_creative=zuwyQOfmfZK7AOsVQh8PaA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=zuwyQOfmfZK7AOsVQh8PaA,1311,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,[],$$,+16045681344,+1 604-568-1344,54.99091675773941,49.27501,-123.122,1168 Hamilton Street,Unit 104,,Vancouver,V6B 2S2,CA,BC,"['1168 Hamilton Street', 'Unit 104', 'Vancouver, BC V6B 2S2', 'Canada']",32603a87cfca71d0f7dfa3513bad69d5
